Station ID,Station Name,Brand,Street Address,City / Town,State / UT,Postcode,Phone / Contact,Latitude,Longitude,Amenities & Services,Website URL,Extracted At
12825018,BAVLA,Shell,TA. BAVLA,AHMEDABAD,Gujarat,382220,+91 99988 82224,22.816497,72.349839,"air_and_water, bakery_shop, credit_card, credit_card_visa, fuel_card, full_service, mobile_loyalty, mobile_payment, other_third_party_rental, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, twenty_four_hour_ev_service, manned",https://find.shell.com/in/fuel/12825018-bavla/en_IN,2026-09-03 11:53:47
10053758,BEHRAMPURA,Shell,BEHRAMPURA,AHMEDABAD,Gujarat,380022,+91 92279 94725,22.996258,72.57433,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, food_offerings, fuel_card, full_service, mobile_loyalty, quick_lubes, shell_card, shop, standard_toilet, manned",https://find.shell.com/in/fuel/10053758-behrampura/en_IN,2026-09-03 11:53:47
10053733,BOPAL AMLI.,Shell,"TALUKA DASCROI, AMBLI ROAD",AHMEDABAD,Gujarat,380058,+91 63567 20220,23.028103,72.48526,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, food_offerings, fuel_card, full_service, mobile_loyalty, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/10053733-bopal-amli/en_IN,2026-09-03 11:53:47
12692556,CHANDKHEDA,Shell,"MOJE: CHANDKHEDA,TA: SABARMATI",AHMEDABAD,Gujarat,382424,+91 92279 94727,23.125496,72.582982,"air_and_water, bakery_shop, credit_card, credit_card_visa, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, twenty_four_hour_ev_service, manned",https://find.shell.com/in/fuel/12692556-chandkheda/en_IN,2026-09-03 11:53:47
12685074,GHODASAR,Shell,"MOJE: GHODASAR, TA: MANINAGAR",AHMEDABAD,Gujarat,380008,+91 82879 38151,22.987129,72.626876,"air_and_water, bakery_shop, credit_card, credit_card_visa, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12685074-ghodasar/en_IN,2026-09-03 11:53:47
12805974,"GHUMA, AROHI CREST RD",Shell,TALUKA :DASKROI,AHMEDABAD,Gujarat,380058,+91 98257 73311,23.0183,72.46707,"bakery_shop, fuel_card, full_service, loyalty_cards, loyalty_program, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12805974-ghuma-arohi-crest-rd/en_IN,2026-09-03 11:53:47
12756461,GOTA OGNAJ ROAD-AHD,Shell,TALUKA- GHATLODIA,AHMEDABAD,Gujarat,380061,+91 99099 45461,23.101682,72.528817,"air_and_water, credit_card, credit_card_visa, food_offerings, fuel_card, full_service, mobile_loyalty, others, pay_at_pump, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12756461-gota-ognaj-road-ahd/en_IN,2026-09-03 11:53:47
10048864,KALUPUR NARODA ROAD,Shell,"VIJAY MILLS, KALUPUR NARODA RD",AHMEDABAD,Gujarat,380016,+91 99099 45461,23.048031,72.6218,"air_and_water, bakery_shop, credit_card, credit_card_general, disabled_facilities, fuel_card, full_service, mobile_loyalty, pay_at_pump, quick_lubes, shell_card, shop, standard_toilet, manned",https://find.shell.com/in/fuel/10048864-kalupur-naroda-road/en_IN,2026-09-03 11:53:47
10048862,KHOKHRA,Shell,"KOKHRA CIRCLE, KOKHRA RD",AHMEDABAD,Gujarat,380008,+91 78743 70922,22.992025,72.60373,"air_and_water, bakery_shop, credit_card, credit_card_general, fuel_card, full_service, go_plus, loyalty_cards, loyalty_program, mobile_loyalty, pay_at_pump, quick_lubes, shell_card, shop, standard_toilet, manned",https://find.shell.com/in/fuel/10048862-khokhra/en_IN,2026-09-03 11:53:47
10053783,MANINAGAR,Shell,"NEAR V-MART, MANINAGAR",AHMEDABAD,Gujarat,380008,+91 98795 88082,23.006492,72.61232,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, food_offerings, fuel_card, full_service, mobile_loyalty, quick_lubes, shell_card, shop, standard_toilet, manned",https://find.shell.com/in/fuel/10053783-maninagar/en_IN,2026-09-03 11:53:47
12635712,"MOTERA, AHMEDABAD",Shell,TA SABARMATI,AHMEDABAD,Gujarat,380005,+91 94267 16759,23.079232,72.595152,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12635712-motera-ahmedabad/en_IN,2026-09-03 11:53:47
12062965,NARANPURA.,Shell,132 FT ROAD,AHMEDABAD,Gujarat,380013,+91 92279 94726,23.05496,72.54808,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, hgv_lane, high_speed_diesel_pump, mobile_loyalty, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12062965-naranpura/en_IN,2026-09-03 11:53:47
12659588,NIKOL - ODHAV ROAD,Shell,"MOJE: NIKOL, TA: ASARWA",AHMEDABAD,Gujarat,382350,+91 92743 06024,23.039875,72.66213,"air_and_water, bakery_shop, cafe, credit_card, credit_card_general, disabled_facilities, food_offerings, fuel_card, full_service, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, twenty_four_hour_ev_service, manned",https://find.shell.com/in/fuel/12659588-nikol-odhav-road/en_IN,2026-09-03 11:53:47
12157733,S G HIGHWAY,Shell,JAGATPUR,AHMEDABAD,Gujarat,382481,+91 98257 73311,23.111855,72.53522,"air_and_water, bakery_shop, cafe, food_offerings, full_service, mobile_loyalty, quick_lubes, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12157733-s-g-highway/en_IN,2026-09-03 11:53:47
12548172,SANAND TOWN,Shell,SANAND,AHMEDABAD,Gujarat,382110,+91 92742 28630,22.98525,72.40334,"air_and_water, bakery_shop, cafe, carwash, credit_card, credit_card_general, food_offerings, fuel_card, full_service, go_plus, loyalty_cards, loyalty_program, manual, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, service_bay, shell_card, shop, snack_food, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12548172-sanand-town/en_IN,2026-09-03 11:53:47
10053714,THALTEJ RD,Shell,OPP. TO NARAYANAN PALACE,AHMEDABAD,Gujarat,380053,+91 92279 94728,23.057472,72.51019,"air_and_water, bakery_shop, cafe, credit_card, credit_card_american_express, credit_card_mastercard, credit_card_visa, fleet_card_general, food_offerings, fuel_card, full_service, high_speed_diesel_pump, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, service_bay, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/10053714-thaltej-rd/en_IN,2026-09-03 11:53:47
12063138,VASTRAL,Shell,"ON S.P. RING ROAD, VASTRAL",AHMEDABAD,Gujarat,382418,+91 95124 61697,23.00513,72.66853,"air_and_water, bakery_shop, cafe, food_offerings, full_service, mobile_loyalty, mobile_payment, pay_tm, quick_lubes, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12063138-vastral/en_IN,2026-09-03 11:53:47
12647602,"JAGATPUR, AHMEDABAD",Shell,AHMEDABAD,"AHMEDABAD,",Gujarat,382481,+91 75671 34179,23.114502,72.537683,"air_and_water, credit_card, credit_card_visa, food_offerings, fuel_card, full_service, loyalty_cards, loyalty_program, mobile_loyalty, mobile_payment, others, pay_at_pump, pay_tm, quick_lubes, service_bay, shell_card, shop, standard_toilet, twenty_four_hour, manned",https://find.shell.com/in/fuel/12647602-jagatpur-ahmedabad/en_IN,2026-09-03 11:53:47
